"LISTA DE AREAS CADASTRADAS"
Area;Abreviaçao;Secretaria;Estado
"FISCALIZAÇÃO DE TRÂNSITO E TR";FTT;"SECRETARIA DE MUNICIPIO DE CIDADANIA E AÇÃO SOCIAL";ATIVADO
ADMINISTRATIVO;ADM;"SECRETARIA DE MUNICIPIO DE CIDADANIA E AÇÃO SOCIAL";ATIVADO
"GUARDA MUNICIPAL";GM;"SECRETARIA DE MUNICIPIO DE CIDADANIA E AÇÃO SOCIAL";ATIVADO
"FISCALIZAÇÃO DE OBRAS E POSTURAS";FOP;"SECRETARIA DE MUNICIPIO DE CIDADANIA E AÇÃO SOCIAL";ATIVADO
"REDE FAMILIA RIOGRANDINA";RFR;"SECRETARIA DE MUNICIPIO DE SAÚDE";ATIVADO
"NOVA AREA";RARA;"SECRETARIA DE MUNICIPIO DE CIDADANIA E AÇÃO SOCIAL";ATIVADO
"NOVA AREA";RARA;"SECRETARIA DE MUNICIPIO DE CIDADANIA E AÇÃO SOCIAL";ATIVADO
BBBBBB;BB;"SECRETARIA DE MUNICIPIO DE CIDADANIA E AÇÃO SOCIAL";ATIVADO
BBBBBB;BB;"SECRETARIA DE MUNICIPIO DE CIDADANIA E AÇÃO SOCIAL";ATIVADO
"EXPORTADO EM 01/07/2024 ÀS 09:17"
