nome;cep
Avenida Uruguai;96212194
Rua Canadá;96212190
Rua México;96212260
Rua Panamá;96212270
Rua Peru;96212200
Rua Pinto Bandeira ;96212234
Avenida Silva Paes;96200340
Largo Engenheiro João Fernandes Moreira;96200015
Largo Gaspar Silveira Martins;96200395
Praça Sete de Setembro;96200120
Praça Xavier Ferreira;96200590
Rua Andradas;96200030
Rua Andrade Neves;96200140
Rua Antônio Campos Assunpção;96200170
Rua Apelles Porto Alegre;96200060
Rua Aquidaban;96200480
Rua Baden Powel;96200430
Rua Barão de Cotegipe;96200290
Rua Benjamin Constant;96200090
Rua Capitão Andrino;96200520
Rua Capitão Tenente Heitor Perdigão;96200580
Rua Carlos Gomes;96200460
Rua Comendador Vasco Vieira da Fonseca;96200420
Rua Conde de Porto Alegre;96200330
Rua Conselheiro Pinto Lima;96200530
Rua Coronel Sampaio;96200180
Rua Dezenove de Fevereiro;96200490
Rua do Riachuelo;96200390
Rua Doutor Napoleão Laureano;96200100
Rua Doutor Nascimento;96200300
Rua Duque de Caxias;96200020
Rua Ewbank;96200080
Rua Fernando Duprat da Silva;96200540
Rua Francisco Campello;96200410
Rua Francisco Marques;96200150
Rua Garibaldi;96200510
Rua General Bacelar;96200370
Rua General Câmara;96200320
Rua General Canabarro;96200200
Rua General Gurjão;96200500
Rua General Neto;96200010
Rua General Osório;96200400
Rua General Portinho;96200210
Rua General Vitorino;96200310
Rua Gomes Freire;96200470
Rua João Alfredo;96200260
Rua Luiz Lorea;96200350
Rua Manoel Pereira de Almeida;96200440
Rua Marechal Floriano Peixoto;96200380
Rua Marechal Floriano Peixoto;96200970
Rua Mário Ribeiro;96200040
Rua Moron;96200450
Rua República do Líbano;96200360
Rua Senador Correa;96200600
Rua Três de Julho;96200220
Rua Trindade;96200160
Rua Vice-Almirante Abreu;96200270
Rua Vinte e Quatro de Maio;96200006
Rua Vinte e Quatro de Maio;96200003
Rua Visconde de Paranagua;96200190
Rua Walter Ramos Lages;96200570
Rua Zalony;96200070
Rua Zalony;96200070
Travessa Afonso;96200110
Travessa Ewerton Medeiros;96200280
Travessa Giordano Bruno;96200240
Travessa João Touguinha;96200606
Travessa Presidente Kennedy;96200230
Avenida Cidade de Pelotas;96211000
Avenida Major Carlos Pinto;96211021
Avenida Major Carlos Pinto;96211020
Avenida Portugal;96211041
Avenida Portugal;96211040
Rua Bento Gonçalves;96211070
Rua Buarque de Macêdo;96211114
Rua Buarque de Macêdo;96211233
Rua Caramuru;96211500
Rua Conselheiro Teixeira Júnior;96211540
Rua Cristóvão Colombo;96211510
Rua Dom Bosco;96211090
Rua Dom Bosco;96211090
Rua Dom Pedro I;96211560
Rua Domingos de Almeida;96211580
Rua Doutor Carneiro Júnior;96211530
Rua Espiridiao de Freitas;96211210
Rua General Abreu;96211102
Rua João Manoel;96211060
Rua João Salomão;96211200
Rua Lagoa Azul;96211185
Rua Marcilio Dias;96211550
Rua Marechal Deodoro;96211480
Rua Padre Feijó;96211520
Rua República;96211570
Rua São Domingos Sávio;96211190
Rua Senador Teotônio Vilela;96211105
Rua Tiradentes;96211080
Rua Visconde de Mauá;96211030
Rua Visconde do Rio Branco;96211010
Rua Visconde do Rio Grande;96211490
Travessa Arthur Lawson;96211250
Travessa Dona Alvina Lima Cavalheiro;96211180
Travessa Nossa Senhora das Graças;96211350
Rua Álvares Cabral;96211440
Rua Auguste Saint Hilaire;96211470
Rua Augusto Duprat;96211414
Rua Bento Gonçalves;96211394
Rua Capitão Martiniano Francisco de Oliveira;96211410
Rua Casemiro de Abreu;96211400
Rua das Missões;96211460
Rua Dom Bosco;96211434
Rua Doutor Guilherme Schultz Filho;96211430
Rua Doutor Luiz Martins Falcão;96211390
Rua Mendes Neto;96211450
Rua Tobias Barreto;96211420
Avenida Argentina;96212000
Avenida Brasil;96212150
Rua Acre;96212080
Rua Acre;96212080
Rua Bolívia;96212044
Rua Cachoeira do Iguaçu;96212070
Rua Costa Rica;96212020
Rua Estados Unidos da América do Norte;96212014
Rua Groelândia;96212024
Rua Guatemala;96212054
Rua Honduras;96212034
Rua Nicarágua;96212010
Rua República de Cuba;96212060
Rua República do Haiti;96212040
Rua República do Salvador;96212030
Rua República Dominicana;96212050
Avenida Dom Pedro II;96201010
Avenida Honório Bicalho;96201020
Rua Abdala Nader;96201070
Rua Adão dos Santos Vaz;96201006
Rua Almirante Barroso;96201001
Rua Almirante Barroso;96201000
Rua Arnaldo Coimbra;96201008
Rua Bastos Guerra;96201080
Rua Bento Martins;96201220
